benchmark,size,n_nodes,n_processes,best_backend,sub_backend,best_runtime,n_qubits,depth,width,n_clbits,n_ops,n_gates,n_parameters,n_connected_components,n_measure_ops,single_qubit_gates,two_qubit_gates,three_qubit_gates,four_qubit_gates,num_separable_circuits,num_tensor_factors,num_serial_layers,qc_width_total,num_registers,num_cregs,num_ancillas,idle_wires,global_phase,dag_size_ops,dag_edge_count,longest_path_len,num_control_flow_ops,num_barriers,num_distinct_twoq_pairs,touch_min,touch_max,touch_avg,clifford_count,nonclifford_count,measure_fraction,total_gate_params,avg_gate_params,std_gate_params,min_gate_params,max_gate_params,num_controlled_gates,num_unitary_factors,dag_duration,qc_duration,gate_barrier,gate_ccx,gate_cp,gate_cu,gate_cx,gate_cz,gate_h,gate_measure,gate_p,gate_rx,gate_ry,gate_rz,gate_s,gate_swap,gate_u2,arg_number_of_iterations,arg_optimization_level,algo_depth,algo_width,algo_num_qubits,algo_num_clbits,algo_num_ops,algo_num_2q_gates,algo_num_cliffords,algo_num_non_cliffords,algo_critical_path_length,algo_connected_components,algo_num_parameters,algo_gate_measure,algo_gate_cx,algo_gate_h,transpile_opt_level,hw_circ_depth,hw_circ_width,hw_circ_num_ops,hw_circ_num_2q_gates,hw_circ_swaps,hw_circ_connected_components,hw_circ_connectivity_degree_max,hw_circ_connectivity_degree_avg,hw_gate_cz,hw_gate_measure,hw_gate_rz,hw_gate_sx,exec_openmp_num_threads,exec_mpi_rank,exec_mpi_size,exec_transpile_time,depth_ratio,twoq_ratio,hw_gate_cx,hw_gate_h,algo_gate_rz,algo_gate_cz,algo_gate_s,algo_gate_swap,algo_gate_rx,hw_gate_x,algo_gate_cu,algo_gate_ccx,algo_gate_cp,algo_gate_u2,algo_gate_ry,algo_gate_p,algo_gate_barrier,hw_gate_barrier,hw_gate_rx,algo_gate_reset,hw_gate_reset,hw_gate_gpi2,hw_gate_ms,hw_gate_gpi,hw_gate_ry,arg_device,arg_run_mode,algo_shots,be_backend_name,be_backend_type,be_backend_is_simulator,depth_qf,width_qf,n_ops_qf,two_qubit_gates_qf,clifford_count_qf,nonclifford_count_qf,critical_path_length_qf,connected_components_qf,num_parameters_qf,critical_path_length,connected_components,num_parameters
ghz,8,1,1,nwqsim,MPI,5174.488687515259,8.0,9.0,8.0,8.0,16.0,16.0,0.0,1.0,8.0,9.0,7.0,0.0,0.0,1.0,1.0,16.0,16.0,1.0,1.0,0.0,0.0,0.0,16.0,47.0,11.0,,0.0,7.0,2.0,3.0,2.875,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,,,0.0,0.0,0.0,0.0,7.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,8.0,,8.0,16.0,7.0,8.0,8.0,9.0,1.0,0.0,8.0,7.0,1.0,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,,,,9.0,12.571428571428571,16.0,7.0,12.571428571428571,3.4285714285714284,9.0,1.0,0.0,9.0,1.0,0.0
ghz,8,1,2,nwqsim,MPI,5174.7074365615845,8.0,9.0,8.0,8.0,16.0,16.0,0.0,1.0,8.0,9.0,7.0,0.0,0.0,1.0,1.0,16.0,16.0,1.0,1.0,0.0,0.0,0.0,16.0,47.0,11.0,,0.0,7.0,2.0,3.0,2.875,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,,,0.0,0.0,0.0,0.0,7.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,8.0,,8.0,16.0,7.0,8.0,8.0,9.0,1.0,0.0,8.0,7.0,1.0,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,,,,9.0,12.571428571428571,16.0,7.0,12.571428571428571,3.4285714285714284,9.0,1.0,0.0,9.0,1.0,0.0
ghz,8,1,4,ionq,simulator,2606.4624786376953,8.0,9.0,8.0,8.0,16.0,16.0,0.0,1.0,8.0,9.0,7.0,0.0,0.0,1.0,1.0,16.0,16.0,1.0,1.0,0.0,0.0,0.0,16.0,47.0,11.0,,0.0,7.0,2.0,3.0,2.875,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,,,0.0,0.0,0.0,0.0,7.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,8.0,8.0,8.0,16.0,7.0,8.0,8.0,9.0,1.0,0.0,8.0,7.0,1.0,1.0,9.0,8.0,16.0,7.0,0.0,1.0,2.0,1.75,,8.0,,,1.0,0.0,1.0,0.8429132588207722,1.0,1.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,ionq_simulator,simulator,True,9.0,12.571428571428571,16.0,7.0,12.571428571428571,3.4285714285714284,9.0,1.0,0.0,9.0,1.0,0.0
ghz,8,1,8,ibmq,ibm_torino,17.09146295906976,8.0,9.0,8.0,8.0,16.0,16.0,0.0,1.0,8.0,9.0,7.0,0.0,0.0,1.0,1.0,16.0,16.0,1.0,1.0,0.0,0.0,0.0,16.0,47.0,11.0,,0.0,7.0,2.0,3.0,2.875,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,,,0.0,0.0,0.0,0.0,7.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,8.0,8.0,8.0,16.0,7.0,8.0,8.0,9.0,1.0,0.0,8.0,7.0,1.0,1.0,32.0,133.0,60.0,7.0,0.0,126.0,2.0,0.10526315789473684,7.0,8.0,30.0,15.0,1.0,0.0,1.0,1.1805869177915156,3.5555555555555554,1.0,,,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,ibm_torino,hardware,False,9.0,12.571428571428571,16.0,7.0,12.571428571428571,3.4285714285714284,9.0,1.0,0.0,9.0,1.0,0.0
ghz,9,1,8,ibmq,ibm_torino,53.336381912231445,9.0,10.0,9.0,9.0,18.0,18.0,0.0,1.0,9.0,10.0,8.0,0.0,0.0,1.0,1.0,18.0,18.0,1.0,1.0,0.0,0.0,0.0,18.0,53.0,12.0,,0.0,8.0,2.0,3.0,2.888888888888889,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,,,0.0,0.0,0.0,0.0,8.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,9.0,9.0,9.0,18.0,8.0,9.0,9.0,10.0,1.0,0.0,9.0,8.0,1.0,1.0,36.0,133.0,68.0,8.0,0.0,125.0,2.0,0.12030075187969924,8.0,9.0,34.0,17.0,1.0,0.0,1.0,1.140296382829547,3.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,ibm_torino,hardware,False,10.0,14.023255813953488,18.0,8.0,14.023255813953488,3.9767441860465116,10.0,1.0,0.0,10.0,1.0,0.0
ghz,12,1,4,nwqsim,MPI,459.3968391418457,12.0,13.0,12.0,12.0,24.0,24.0,0.0,1.0,12.0,13.0,11.0,0.0,0.0,1.0,1.0,24.0,24.0,1.0,1.0,0.0,0.0,0.0,24.0,71.0,15.0,,0.0,11.0,2.0,3.0,2.9166666666666665,12.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,,,0.0,0.0,0.0,0.0,11.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,15,1,8,ibmq,ibm_torino,39.47091102600098,15.0,16.0,15.0,15.0,30.0,30.0,0.0,1.0,15.0,16.0,14.0,0.0,0.0,1.0,1.0,30.0,30.0,1.0,1.0,0.0,0.0,0.0,30.0,89.0,18.0,,0.0,14.0,2.0,3.0,2.933333333333333,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,,,0.0,0.0,0.0,0.0,14.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.0,15.0,15.0,15.0,30.0,14.0,15.0,15.0,16.0,1.0,0.0,15.0,14.0,1.0,1.0,60.0,133.0,116.0,14.0,0.0,119.0,2.0,0.21052631578947367,14.0,15.0,58.0,29.0,1.0,0.0,1.0,1.5609732698649168,3.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,ibm_torino,hardware,False,16.0,23.571428571428573,30.0,14.0,23.571428571428573,6.428571428571429,16.0,1.0,0.0,16.0,1.0,0.0
ghz,16,1,1,nwqsim,MPI,4894.378857179122,16.0,17.0,16.0,16.0,32.0,32.0,0.0,1.0,16.0,17.0,15.0,0.0,0.0,1.0,1.0,32.0,32.0,1.0,1.0,0.0,0.0,0.0,32.0,95.0,19.0,,0.0,15.0,2.0,3.0,2.9375,16.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,,,0.0,0.0,0.0,0.0,15.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,16.0,,16.0,32.0,15.0,16.0,16.0,17.0,1.0,0.0,16.0,15.0,1.0,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,,,,17.0,25.142857142857142,32.0,15.0,25.142857142857142,6.857142857142857,17.0,1.0,0.0,17.0,1.0,0.0
ghz,16,1,2,nwqsim,MPI,5183.712291717529,16.0,17.0,16.0,16.0,32.0,32.0,0.0,1.0,16.0,17.0,15.0,0.0,0.0,1.0,1.0,32.0,32.0,1.0,1.0,0.0,0.0,0.0,32.0,95.0,19.0,,0.0,15.0,2.0,3.0,2.9375,16.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,,,0.0,0.0,0.0,0.0,15.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,16.0,,16.0,32.0,15.0,16.0,16.0,17.0,1.0,0.0,16.0,15.0,1.0,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,,,,17.0,25.142857142857142,32.0,15.0,25.142857142857142,6.857142857142857,17.0,1.0,0.0,17.0,1.0,0.0
ghz,16,1,4,ionq,simulator,2123.179833094279,16.0,17.0,16.0,16.0,32.0,32.0,0.0,1.0,16.0,17.0,15.0,0.0,0.0,1.0,1.0,32.0,32.0,1.0,1.0,0.0,0.0,0.0,32.0,95.0,19.0,,0.0,15.0,2.0,3.0,2.9375,16.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,,,0.0,0.0,0.0,0.0,15.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0,16.0,16.0,16.0,32.0,15.0,16.0,16.0,17.0,1.0,0.0,16.0,15.0,1.0,1.0,17.0,16.0,32.0,15.0,0.0,1.0,2.0,1.875,,16.0,,,1.0,0.0,1.0,1.0572340325452387,1.0,1.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,ionq_simulator,simulator,True,17.0,25.142857142857142,32.0,15.0,25.142857142857142,6.857142857142857,17.0,1.0,0.0,17.0,1.0,0.0
ghz,16,1,8,ibmq,ibm_torino,123.02327156066895,16.0,17.0,16.0,16.0,32.0,32.0,0.0,1.0,16.0,17.0,15.0,0.0,0.0,1.0,1.0,32.0,32.0,1.0,1.0,0.0,0.0,0.0,32.0,95.0,19.0,,0.0,15.0,2.0,3.0,2.9375,16.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,,,0.0,0.0,0.0,0.0,15.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0,16.0,16.0,16.0,32.0,15.0,16.0,16.0,17.0,1.0,0.0,16.0,15.0,1.0,1.0,64.0,133.0,124.0,15.0,0.0,118.0,2.0,0.22556390977443608,15.0,16.0,62.0,31.0,1.0,0.0,1.0,3.5091798338107765,3.764705882352941,1.0,,,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,ibm_torino,hardware,False,17.0,25.142857142857142,32.0,15.0,25.142857142857142,6.857142857142857,17.0,1.0,0.0,17.0,1.0,0.0
ghz,16,2,1,nwqsim,MPI,5177.44779586792,16.0,17.0,16.0,16.0,32.0,32.0,0.0,1.0,16.0,17.0,15.0,0.0,0.0,1.0,1.0,32.0,32.0,1.0,1.0,0.0,0.0,0.0,32.0,95.0,19.0,,0.0,15.0,2.0,3.0,2.9375,16.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,,,0.0,0.0,0.0,0.0,15.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,16.0,,16.0,32.0,15.0,16.0,16.0,17.0,1.0,0.0,16.0,15.0,1.0,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,,,,17.0,25.142857142857142,32.0,15.0,25.142857142857142,6.857142857142857,17.0,1.0,0.0,17.0,1.0,0.0
ghz,16,2,2,nwqsim,MPI,2611.5057468414307,16.0,17.0,16.0,16.0,32.0,32.0,0.0,1.0,16.0,17.0,15.0,0.0,0.0,1.0,1.0,32.0,32.0,1.0,1.0,0.0,0.0,0.0,32.0,95.0,19.0,,0.0,15.0,2.0,3.0,2.9375,16.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,,,0.0,0.0,0.0,0.0,15.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,16.0,,16.0,32.0,15.0,16.0,16.0,17.0,1.0,0.0,16.0,15.0,1.0,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,,,,17.0,25.142857142857142,32.0,15.0,25.142857142857142,6.857142857142857,17.0,1.0,0.0,17.0,1.0,0.0
ghz,20,1,1,nwqsim,MPI,4045.5377101898193,20.0,21.0,20.0,20.0,40.0,40.0,0.0,1.0,20.0,21.0,19.0,0.0,0.0,1.0,1.0,40.0,40.0,1.0,1.0,0.0,0.0,0.0,40.0,119.0,23.0,,0.0,19.0,2.0,3.0,2.95,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,,,0.0,0.0,0.0,0.0,19.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,20.0,,20.0,40.0,19.0,20.0,20.0,21.0,1.0,0.0,20.0,19.0,1.0,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,,,,21.0,32.972972972972975,40.0,19.0,32.972972972972975,7.027027027027027,21.0,1.0,0.0,21.0,1.0,0.0
ghz,20,1,4,ionq,simulator,2335.142453511556,20.0,21.0,20.0,20.0,40.0,40.0,0.0,1.0,20.0,21.0,19.0,0.0,0.0,1.0,1.0,40.0,40.0,1.0,1.0,0.0,0.0,0.0,40.0,119.0,23.0,,0.0,19.0,2.0,3.0,2.95,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,,,0.0,0.0,0.0,0.0,19.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,21.0,20.0,20.0,20.0,40.0,19.0,20.0,20.0,21.0,1.0,0.0,20.0,19.0,1.0,1.0,21.0,20.0,40.0,19.0,0.0,1.0,2.0,1.9,,20.0,,,1.0,0.0,1.0,0.7420758709777147,1.0,1.0,19.0,1.0,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,ionq_simulator,simulator,True,21.0,32.972972972972975,40.0,19.0,32.972972972972975,7.027027027027027,21.0,1.0,0.0,21.0,1.0,0.0
ghz,20,1,8,ibmq,ibm_torino,50.8122444152832,20.0,21.0,20.0,20.0,40.0,40.0,0.0,1.0,20.0,21.0,19.0,0.0,0.0,1.0,1.0,40.0,40.0,1.0,1.0,0.0,0.0,0.0,40.0,119.0,23.0,,0.0,19.0,2.0,3.0,2.95,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,,,0.0,0.0,0.0,0.0,19.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,21.0,20.0,20.0,20.0,40.0,19.0,20.0,20.0,21.0,1.0,0.0,20.0,19.0,1.0,1.0,80.0,133.0,156.0,19.0,0.0,114.0,2.0,0.2857142857142857,19.0,20.0,78.0,39.0,1.0,0.0,1.0,2.923521594999329,3.8095238095238093,1.0,,,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,ibm_torino,hardware,False,21.0,32.972972972972975,40.0,19.0,32.972972972972975,7.027027027027027,21.0,1.0,0.0,21.0,1.0,0.0
ghz,20,1,16,nwqsim,MPI,2062.610626220703,20.0,21.0,20.0,20.0,40.0,40.0,0.0,1.0,20.0,21.0,19.0,0.0,0.0,1.0,1.0,40.0,40.0,1.0,1.0,0.0,0.0,0.0,40.0,119.0,23.0,,0.0,19.0,2.0,3.0,2.95,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,,,0.0,0.0,0.0,0.0,19.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,20.0,,20.0,40.0,19.0,20.0,20.0,21.0,1.0,0.0,20.0,19.0,1.0,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,,,,21.0,32.972972972972975,40.0,19.0,32.972972972972975,7.027027027027027,21.0,1.0,0.0,21.0,1.0,0.0
ghz,20,2,8,nwqsim,MPI,702.1729946136475,20.0,21.0,20.0,20.0,40.0,40.0,0.0,1.0,20.0,21.0,19.0,0.0,0.0,1.0,1.0,40.0,40.0,1.0,1.0,0.0,0.0,0.0,40.0,119.0,23.0,,0.0,19.0,2.0,3.0,2.95,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,,,0.0,0.0,0.0,0.0,19.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,20.0,,20.0,40.0,19.0,20.0,20.0,21.0,1.0,0.0,20.0,19.0,1.0,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,,,,21.0,32.972972972972975,40.0,19.0,32.972972972972975,7.027027027027027,21.0,1.0,0.0,21.0,1.0,0.0
